^Dadduser	3.137ubuntu1
libblosc-dev:amd64	1.21.5+ds-1build1
libblosc1:amd64	1.21.5+ds-1build1
libbluray2:amd64	1:1.3.4-1build1
libboost-atomic1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-atomic1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-chrono1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-chrono1.83.0t64:amd64	1.83.0-2.1ubuntu3.2
libboost-date-time1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-date-time1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-dev:amd64	1.83.0.1ubuntu2
libboost-serialization1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-serialization1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-system1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-system1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost-thread-dev:amd64	1.83.0.1ubuntu2
libboost-thread1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libboost-thread1.83.0:amd64	1.83.0-2.1ubuntu3.2
libboost1.83-dev:amd64	1.83.0-2.1ubuntu3.2
libbrotli1:amd64	1.1.0-2build2
libbs2b0:amd64	3.1.0+dfsg-7build1
libbsd-dev:amd64	0.12.1-1build1.1
libbsd0:amd64	0.12.1-1build1.1
libbullet-dev:amd64	3.24+dfsg-2.1build1
libbullet3.24t64:amd64	3.24+dfsg-2.1build1
libbz2-1.0:amd64	1.0.8-5.1build0.1
libc-bin	2.39-0ubuntu8.8
libc-dev-bin	2.39-0ubuntu8.8
libc6:amd64	2.39-0ubuntu8.8
libc6-dev:amd64	2.39-0ubuntu8.8
libcaca0:amd64	0.99.beta20-4ubuntu0.2
libcairo-gobject2:amd64	1.18.0-3build1
libcairo2:amd64	1.18.0-3build1
libcap-dev:amd64	1:2.66-5ubuntu2.4
libcap-ng0:amd64	0.8.4-2build2
libcap2:amd64	1:2.66-5ubuntu2.4
libccd2:amd64	2.1-2
libcdio-cdda2t64:amd64	10.2+2.0.1-1.1build2
libcdio-paranoia2t64:amd64	10.2+2.0.1-1.1build2
libcdio19t64:amd64	2.1.0-4.1ubuntu1.2
libcfitsio-dev:amd64	4.3.1-1.1build2
libcfitsio10t64:amd64	4.3.1-1.1build2
libchromaprint1:amd64	1.5.1-5
libcjson1:amd64	1.7.17-1
libcodec2-1.2:amd64	1.2.0-2build1
libcom-err2:amd64	1.47.0-2.4~exp1ubuntu4.1
libcrypt-dev:amd64	1:4.4.36-4build1
libcrypt1:amd64	1:4.4.36-4build1
libcups2t64:amd64	2.4.7-1.2ubuntu7.14
libcurl3t64-gnutls:amd64	8.5.0-2ubuntu10.11
libcurl4-openssl-dev:amd64	8.5.0-2ubuntu10.11
libcurl4t64:amd64	8.5.0-2ubuntu10.11
libdart-core+collisions+odelcpsolver6.13:amd64	6.13.2+ds1-1~osrf2~noble
libdatrie1:amd64	0.2.13-3build1
libdav1d-dev:amd64	1.4.1-1build1
libdav1d7:amd64	1.4.1-1build1
libdb5.3t64:amd64	5.3.28+dfsg2-7
libdbus-1-3:amd64	1.14.10-4ubuntu4.1
libdc1394-25:amd64	2.2.6-4build1
libde265-0:amd64	1.0.15-1ubuntu0.1
libde265-dev:amd64	1.0.15-1ubuntu0.1
libdebconfclient0:amd64	0.271ubuntu3
libdecor-0-0:amd64	0.2.2-1build2
libdeflate-dev:amd64	1.19-1build1.1
libdeflate0:amd64	1.19-1build1.1
libdouble-conversion3:amd64	3.3.0-1build1
libdraco8:amd64	1.5.6+dfsg-3build1
libdrm-amdgpu1:amd64	2.4.125-1ubuntu0.1~24.04.2
libdrm-common	2.4.125-1ubuntu0.1~24.04.2
libdrm-intel1:amd64	2.4.125-1ubuntu0.1~24.04.2
libdrm2:amd64	2.4.125-1ubuntu0.1~24.04.2
libedit2:amd64	3.1-20230828-1build1
libegl-dev:amd64	1.7.0-1build1
libegl-mesa0:amd64	25.2.8-0ubuntu0.24.04.2
libegl1:amd64	1.7.0-1build1
libeigen3-dev	3.4.0-4build0.1
libelf1t64:amd64	0.190-1.1ubuntu0.1
libev-dev:amd64	1:4.33-2.1build1
libev4t64:amd64	1:4.33-2.1build1
libevdev2:amd64	1.13.1+dfsg-1build1
libexpat1:amd64	2.6.1-2ubuntu0.4
libexpat1-dev:amd64	2.6.1-2ubuntu0.4
libext2fs2t64:amd64	1.47.0-2.4~exp1ubuntu4.1
libfcl0.7:amd64	0.7.0-3build2
libffi-dev:amd64	3.4.6-1build1
libffi8:amd64	3.4.6-1build1
libfftw3-double3:amd64	3.3.10-1ubuntu3
libflac12t64:amd64	1.4.3+ds-2.1ubuntu2
libflite1:amd64	2.2-6build3
libfontconfig1:amd64	2.15.0-1.1ubuntu2
libfreeimage-dev:amd64	3.18.0+ds2-10build4
libfreeimage3:amd64	3.18.0+ds2-10build4
libfreetype6:amd64	2.13.2+dfsg-1ubuntu0.1
libfreexl-dev:amd64	2.0.0-1build2
libfreexl1:amd64	2.0.0-1build2
libfribidi0:amd64	1.0.13-3build1
libfyba-dev:amd64	4.1.1-11build1
libfyba0t64:amd64	4.1.1-11build1
libgbm1:amd64	25.2.8-0ubuntu0.24.04.2
libgcc-13-dev:amd64	13.3.0-6ubuntu2~24.04.1
libgcc-s1:amd64	14.2.0-4ubuntu2~24.04.1
libgcrypt20:amd64	1.10.3-2ubuntu0.1
libgdal-dev	3.8.4+dfsg-3ubuntu3
libgdal34t64:amd64	3.8.4+dfsg-3ubuntu3
libgdbm-compat4t64:amd64	1.23-5.1build1
libgdbm6t64:amd64	1.23-5.1build1
libgdk-pixbuf-2.0-0:amd64	2.42.10+dfsg-3ubuntu3.3
libgdk-pixbuf2.0-common	2.42.10+dfsg-3ubuntu3.3
libgeos-c1t64:amd64	3.12.1-3build1
libgeos-dev	3.12.1-3build1
libgeos3.12.1t64:amd64	3.12.1-3build1
libgeotiff-dev:amd64	1.7.1-5build1
libgeotiff5:amd64	1.7.1-5build1
libgfortran5:amd64	14.2.0-4ubuntu2~24.04.1
libgif-dev:amd64	5.2.2-1ubuntu1.2
libgif7:amd64	5.2.2-1ubuntu1.2
libgirepository-2.0-0:amd64	2.80.0-6ubuntu3.8
libgl-dev:amd64	1.7.0-1build1
libgl1:amd64	1.7.0-1build1
libgl1-mesa-dri:amd64	25.2.8-0ubuntu0.24.04.2
libglib2.0-0t64:amd64	2.80.0-6ubuntu3.8
libglib2.0-bin	2.80.0-6ubuntu3.8
libglib2.0-data	2.80.0-6ubuntu3.8
libglib2.0-dev:amd64	2.80.0-6ubuntu3.8
libglib2.0-dev-bin	2.80.0-6ubuntu3.8
libglu1-mesa:amd64	9.0.2-1.1build1
libglu1-mesa-dev:amd64	9.0.2-1.1build1
libglvnd0:amd64	1.7.0-1build1
libglx-dev:amd64	1.7.0-1build1
libglx-mesa0:amd64	25.2.8-0ubuntu0.24.04.2
libglx0:amd64	1.7.0-1build1
libgme0:amd64	0.6.3-7build1
libgmp10:amd64	2:6.3.0+dfsg-2ubuntu6.1
libgnutls30t64:amd64	3.8.3-1.1ubuntu3.6
libgomp1:amd64	14.2.0-4ubuntu2~24.04.1
libgpg-error0:amd64	1.47-3build2.1
libgraphite2-3:amd64	1.3.14-2ubuntu0.24.04.1
libgsm1:amd64	1.0.22-1build1
libgssapi-krb5-2:amd64	1.20.1-6ubuntu2.8
libgssrpc4t64:amd64	1.20.1-6ubuntu2.8
libgts-0.7-5t64:amd64	0.7.6+darcs121130-5.2build1
libgts-dev:amd64	0.7.6+darcs121130-5.2build1
libgudev-1.0-0:amd64	1:238-5ubuntu1
libgz-cmake3-dev:amd64	3.6.0-1~noble
libgz-common5:amd64	5.8.0-1~noble
libgz-common5-av:amd64	5.8.0-1~noble
libgz-common5-av-dev:amd64	5.8.0-1~noble
libgz-common5-core-dev:amd64	5.8.0-1~noble
libgz-common5-dev:amd64	5.8.0-1~noble
libgz-common5-events:amd64	5.8.0-1~noble
libgz-common5-events-dev:amd64	5.8.0-1~noble
libgz-common5-geospatial:amd64	5.8.0-1~noble
libgz-common5-geospatial-dev:amd64	5.8.0-1~noble
libgz-common5-graphics:amd64	5.8.0-1~noble
libgz-common5-graphics-dev:amd64	5.8.0-1~noble
libgz-common5-io:amd64	5.8.0-1~noble
libgz-common5-io-dev:amd64	5.8.0-1~noble
libgz-common5-profiler:amd64	5.8.0-1~noble
libgz-common5-profiler-dev:amd64	5.8.0-1~noble
libgz-common5-testing:amd64	5.8.0-1~noble
libgz-common5-testing-dev:amd64	5.8.0-1~noble
libgz-fuel-tools9:amd64	9.1.1-1~noble
libgz-fuel-tools9-dev:amd64	9.1.1-1~noble
libgz-gui8:amd64	8.4.0-1~noble
libgz-gui8-dev:amd64	8.4.0-1~noble
libgz-launch7:amd64	7.1.2-1~noble
libgz-launch7-dev:amd64	7.1.2-1~noble
libgz-math7:amd64	7.6.0-1~noble
libgz-math7-dev:amd64	7.6.0-1~noble
libgz-math7-eigen3-dev:amd64	7.6.0-1~noble
libgz-msgs10:amd64	10.4.0-1~noble
libgz-msgs10-dev:amd64	10.4.0-1~noble
libgz-physics7:amd64	7.8.0-1~noble
libgz-physics7-bullet:amd64	7.8.0-1~noble
libgz-physics7-bullet-dev:amd64	7.8.0-1~noble
libgz-physics7-core-dev:amd64	7.8.0-1~noble
libgz-physics7-dartsim:amd64	7.8.0-1~noble
libgz-physics7-dartsim-dev:amd64	7.8.0-1~noble
libgz-physics7-dev:amd64	7.8.0-1~noble
libgz-physics7-heightmap-dev:amd64	7.8.0-1~noble
libgz-physics7-mesh-dev:amd64	7.8.0-1~noble
libgz-physics7-sdf-dev:amd64	7.8.0-1~noble
libgz-physics7-tpe:amd64	7.8.0-1~noble
libgz-physics7-tpe-dev:amd64	7.8.0-1~noble
libgz-physics7-tpelib:amd64	7.8.0-1~noble
libgz-physics7-tpelib-dev:amd64	7.8.0-1~noble
libgz-plugin2:amd64	2.0.4-1~noble
libgz-plugin2-dev:amd64	2.0.4-1~noble
libgz-rendering8:amd64	8.2.3-1~noble
libgz-rendering8-core-dev:amd64	8.2.3-1~noble
libgz-rendering8-dev:amd64	8.2.3-1~noble
libgz-rendering8-ogre1:amd64	8.2.3-1~noble
libgz-rendering8-ogre1-dev:amd64	8.2.3-1~noble
libgz-rendering8-ogre2:amd64	8.2.3-1~noble
libgz-rendering8-ogre2-dev:amd64	8.2.3-1~noble
libgz-sensors8:amd64	8.2.2-1~noble
libgz-sensors8-air-pressure:amd64	8.2.2-1~noble
libgz-sensors8-air-pressure-dev:amd64	8.2.2-1~noble
libgz-sensors8-air-speed:amd64	8.2.2-1~noble
libgz-sensors8-air-speed-dev:amd64	8.2.2-1~noble
libgz-sensors8-altimeter:amd64	8.2.2-1~noble
libgz-sensors8-altimeter-dev:amd64	8.2.2-1~noble
libgz-sensors8-boundingbox-camera:amd64	8.2.2-1~noble
libgz-sensors8-boundingbox-camera-dev:amd64	8.2.2-1~noble
libgz-sensors8-camera:amd64	8.2.2-1~noble
libgz-sensors8-camera-dev:amd64	8.2.2-1~noble
libgz-sensors8-core-dev:amd64	8.2.2-1~noble
libgz-sensors8-depth-camera:amd64	8.2.2-1~noble
libgz-sensors8-depth-camera-dev:amd64	8.2.2-1~noble
libgz-sensors8-dev:amd64	8.2.2-1~noble
libgz-sensors8-dvl:amd64	8.2.2-1~noble
libgz-sensors8-dvl-dev:amd64	8.2.2-1~noble
libgz-sensors8-force-torque:amd64	8.2.2-1~noble
libgz-sensors8-force-torque-dev:amd64	8.2.2-1~noble
libgz-sensors8-gpu-lidar:amd64	8.2.2-1~noble
libgz-sensors8-gpu-lidar-dev:amd64	8.2.2-1~noble
libgz-sensors8-imu:amd64	8.2.2-1~noble
libgz-sensors8-imu-dev:amd64	8.2.2-1~noble
libgz-sensors8-lidar:amd64	8.2.2-1~noble
libgz-sensors8-lidar-dev:amd64	8.2.2-1~noble
libgz-sensors8-logical-camera:amd64	8.2.2-1~noble
libgz-sensors8-logical-camera-dev:amd64	8.2.2-1~noble
libgz-sensors8-magnetometer:amd64	8.2.2-1~noble
libgz-sensors8-magnetometer-dev:amd64	8.2.2-1~noble
libgz-sensors8-navsat:amd64	8.2.2-1~noble
libgz-sensors8-navsat-dev:amd64	8.2.2-1~noble
libgz-sensors8-rendering:amd64	8.2.2-1~noble
libgz-sensors8-rendering-dev:amd64	8.2.2-1~noble
libgz-sensors8-rgbd-camera:amd64	8.2.2-1~noble
libgz-sensors8-rgbd-camera-dev:amd64	8.2.2-1~noble
libgz-sensors8-segmentation-camera:amd64	8.2.2-1~noble
libgz-sensors8-segmentation-camera-dev:amd64	8.2.2-1~noble
libgz-sensors8-thermal-camera:amd64	8.2.2-1~noble
libgz-sensors8-thermal-camera-dev:amd64	8.2.2-1~noble
libgz-sensors8-wide-angle-camera:amd64	8.2.2-1~noble
libgz-sensors8-wide-angle-camera-dev:amd64	8.2.2-1~noble
libgz-sim8:amd64	8.15.0-1~noble
libgz-sim8-dev:amd64	8.15.0-1~noble
libgz-sim8-plugins:amd64	8.15.0-1~noble
libgz-tools2-dev:amd64	2.0.3-2~noble
libgz-transport13:amd64	13.5.0-1~noble
libgz-transport13-core-dev:amd64	13.5.0-1~noble
libgz-transport13-dev:amd64	13.5.0-1~noble
libgz-transport13-log:amd64	13.5.0-1~noble
libgz-transport13-log-dev:amd64	13.5.0-1~noble
libgz-transport13-parameters:amd64	13.5.0-1~noble
libgz-transport13-parameters-dev:amd64	13.5.0-1~noble
libgz-utils2:amd64	2.2.1-1~noble
libgz-utils2-cli-dev:amd64	2.2.1-1~noble
libgz-utils2-dev:amd64	2.2.1-1~noble
libharfbuzz0b:amd64	8.3.0-2build2
libhdf4-0-alt:amd64	4.2.16-4build1
libhdf4-alt-dev	4.2.16-4build1
libhdf5-103-1t64:amd64	1.10.10+repack-3.1ubuntu4
libhdf5-cpp-103-1t64:amd64	1.10.10+repack-3.1ubuntu4
libhdf5-dev	1.10.10+repack-3.1ubuntu4
libhdf5-fortran-102t64:amd64	1.10.10+repack-3.1ubuntu4
libhdf5-hl-100t64:amd64	1.10.10+repack-3.1ubuntu4
libhdf5-hl-cpp-100t64:amd64	1.10.10+repack-3.1ubuntu4
libhdf5-hl-fortran-100t64:amd64	1.10.10+repack-3.1ubuntu4
libheif-dev:amd64	1.17.6-1ubuntu4.6
libheif-plugin-aomdec:amd64	1.17.6-1ubuntu4.6
libheif1:amd64	1.17.6-1ubuntu4.6
libhogweed6t64:amd64	3.9.1-2.2build1.1
libhwasan0:amd64	14.2.0-4ubuntu2~24.04.1
libhwy1t64:amd64	1.0.7-8.1build1
libice6:amd64	2:1.0.10-1build3
libicu-dev:amd64	74.2-1ubuntu3.1
libicu74:amd64	74.2-1ubuntu3.1
libidn2-0:amd64	2.3.7-2build1.1
libiec61883-0:amd64	1.2.0-6build1
libimath-3-1-29t64:amd64	3.1.9-3.1ubuntu2
libinput-bin	1.25.0-1ubuntu3.6
libinput10:amd64	1.25.0-1ubuntu3.6
libitm1:amd64	14.2.0-4ubuntu2~24.04.1
libjack-jackd2-0:amd64	1.9.21~dfsg-3ubuntu3
libjbig-dev:amd64	2.1-6.1ubuntu2
libjbig0:amd64	2.1-6.1ubuntu2
libjpeg-dev:amd64	8c-2ubuntu11
libjpeg-turbo8:amd64	2.1.5-2ubuntu2
libjpeg-turbo8-dev:amd64	2.1.5-2ubuntu2
libjpeg8:amd64	8c-2ubuntu11
libjpeg8-dev:amd64	8c-2ubuntu11
libjson-c-dev:amd64	0.17-1build1
libjson-c5:amd64	0.17-1build1
libjsoncpp-dev:amd64	1.9.5-6build1
libjsoncpp25:amd64	1.9.5-6build1
libjxl0.7:amd64	0.7.0-10.2ubuntu6.1
libjxr0t64:amd64	1.2~git20170615.f752187-5.1ubuntu2
libk5crypto3:amd64	1.20.1-6ubuntu2.8
libkadm5clnt-mit12:amd64	1.20.1-6ubuntu2.8
libkadm5srv-mit12:amd64	1.20.1-6ubuntu2.8
libkdb5-10t64:amd64	1.20.1-6ubuntu2.8
libkeyutils1:amd64	1.6.3-3build1
libkml-dev:amd64	1.3.0-12build1
libkmlbase1t64:amd64	1.3.0-12build1
libkmlconvenience1t64:amd64	1.3.0-12build1
libkmldom1t64:amd64	1.3.0-12build1
libkmlengine1t64:amd64	1.3.0-12build1
libkmlregionator1t64:amd64	1.3.0-12build1
libkmlxsd1t64:amd64	1.3.0-12build1
libkrb5-3:amd64	1.20.1-6ubuntu2.8
libkrb5-dev:amd64	1.20.1-6ubuntu2.8
libkrb5support0:amd64	1.20.1-6ubuntu2.8
libksba8:amd64	1.6.6-1build1
liblapack-dev:amd64	3.12.0-3build1.1
liblapack3:amd64	3.12.0-3build1.1
liblcms2-2:amd64	2.14-2ubuntu0.1
libldap2:amd64	2.6.10+dfsg-0ubuntu0.24.04.1
liblerc-dev:amd64	4.0.0+ds-4ubuntu2
liblerc4:amd64	4.0.0+ds-4ubuntu2
liblilv-0-0:amd64	0.24.22-1build1
libllvm20:amd64	1:20.1.2-0ubuntu1~24.04.3
liblsan0:amd64	14.2.0-4ubuntu2~24.04.1
libltdl-dev:amd64	2.4.7-7build1
libltdl7:amd64	2.4.7-7build1
liblz4-1:amd64	1.9.4-1build1.1
liblz4-dev:amd64	1.9.4-1build1.1
liblzma-dev:amd64	5.6.1+really5.4.5-1ubuntu0.3
liblzma5:amd64	5.6.1+really5.4.5-1ubuntu0.3
libmbedcrypto7t64:amd64	2.28.8-1
libmd-dev:amd64	1.1.0-2build1.1
libmd0:amd64	1.1.0-2build1.1
libmd4c0:amd64	0.4.8-1build1
libminizip-dev:amd64	1:1.3.dfsg-3.1ubuntu2.1
libminizip1t64:amd64	1:1.3.dfsg-3.1ubuntu2.1
libmount-dev:amd64	2.39.3-9ubuntu6.5
libmount1:amd64	2.39.3-9ubuntu6.5
libmp3lame0:amd64	3.100-6build1
libmpg123-0t64:amd64	1.32.5-1ubuntu1.1
libmtdev1t64:amd64	1.1.6-1.1build1
libmysofa1:amd64	1.3.2+dfsg-2ubuntu2
libmysqlclient-dev	8.0.46-0ubuntu0.24.04.3
libmysqlclient21:amd64	8.0.46-0ubuntu0.24.04.3
libncurses6:amd64	6.4+20240113-1ubuntu2.1
libncursesw6:amd64	6.4+20240113-1ubuntu2.1
libnetcdf-dev	1:4.9.2-5ubuntu4
libnetcdf19t64:amd64	1:4.9.2-5ubuntu4
libnettle8t64:amd64	3.9.1-2.2build1.1
libnghttp2-14:amd64	1.59.0-1ubuntu0.4
libnorm-dev:amd64	1.5.9+dfsg-3.1build1
libnorm1t64:amd64	1.5.9+dfsg-3.1build1
libnpth0t64:amd64	1.6-3.1build1
libnspr4:amd64	2:4.35-1.1build1
libnss3:amd64	2:3.98-1ubuntu0.2
libnuma1:amd64	2.0.18-1ubuntu0.24.04.1
liboctomap1.9t64:amd64	1.9.7+dfsg-3.1build3
libodbc2:amd64	2.3.12-1ubuntu0.24.04.1
libodbccr2:amd64	2.3.12-1ubuntu0.24.04.1
libodbcinst2:amd64	2.3.12-1ubuntu0.24.04.1
libode8t64	2:0.16.2-1.1build1
libogdi-dev	4.1.1+ds-3build1
libogdi4.1:amd64	4.1.1+ds-3build1
libogg0:amd64	1.3.5-3build1
libogre-1.9-dev	1.9.0+dfsg1-14.1build2
libogre-1.9.0t64:amd64	1.9.0+dfsg1-14.1build2
libogre-next-2.3-dev	2.3.1-9osrf~noble
libogre-next-2.3.0:amd64	2.3.1-9osrf~noble
libopenal-data	1:1.23.1-4build1
libopenal1:amd64	1:1.23.1-4build1
libopenexr-3-1-30:amd64	3.1.5-5.1build3
libopengl-dev:amd64	1.7.0-1build1
libopengl0:amd64	1.7.0-1build1
libopenjp2-7:amd64	2.5.0-2ubuntu0.5
libopenjp2-7-dev:amd64	2.5.0-2ubuntu0.5
libopenmpt0t64:amd64	0.7.3-1.1build3
libopus0:amd64	1.4-1build1
libp11-kit0:amd64	0.25.3-4ubuntu2.1
libpam-modules:amd64	1.5.3-5ubuntu5.6
libpam-modules-bin	1.5.3-5ubuntu5.6
libpam-runtime	1.5.3-5ubuntu5.6
libpam0g:amd64	1.5.3-5ubuntu5.6
libpango-1.0-0:amd64	1.52.1+ds-1build1
libpangocairo-1.0-0:amd64	1.52.1+ds-1build1
libpangoft2-1.0-0:amd64	1.52.1+ds-1build1
libpciaccess0:amd64	0.17-3ubuntu0.24.04.2
libpcre2-16-0:amd64	10.42-4ubuntu2.1
libpcre2-32-0:amd64	10.42-4ubuntu2.1
libpcre2-8-0:amd64	10.42-4ubuntu2.1
libpcre2-dev:amd64	10.42-4ubuntu2.1
libpcre2-posix3:amd64	10.42-4ubuntu2.1
libperl5.38t64:amd64	5.38.2-3.2ubuntu0.3
libpgm-5.3-0t64:amd64	5.3.128~dfsg-2.1build1
libpgm-dev:amd64	5.3.128~dfsg-2.1build1
libpixman-1-0:amd64	0.42.2-1build1
libpkgconf3:amd64	1.8.1-2build1
libplacebo338:amd64	6.338.2-2build1
libpng-dev:amd64	1.6.43-5ubuntu0.6
libpng16-16t64:amd64	1.6.43-5ubuntu0.6
libpocketsphinx3:amd64	0.8.0+real5prealpha+1-15ubuntu5
libpoppler-dev:amd64	24.02.0-1ubuntu9.9
libpoppler-private-dev:amd64	24.02.0-1ubuntu9.9
libpoppler134:amd64	24.02.0-1ubuntu9.9
libpostproc-dev:amd64	7:6.1.1-3ubuntu5
libpostproc57:amd64	7:6.1.1-3ubuntu5
libpq-dev	16.14-0ubuntu0.24.04.1
libpq5:amd64	16.14-0ubuntu0.24.04.1
libproc2-0:amd64	2:4.0.4-4ubuntu3.2
libproj-dev:amd64	9.4.0-1build2
libproj25:amd64	9.4.0-1build2
libprotobuf-dev:amd64	3.21.12-8.2ubuntu0.3
libprotobuf-lite32t64:amd64	3.21.12-8.2ubuntu0.3
libprotobuf32t64:amd64	3.21.12-8.2ubuntu0.3
libprotoc-dev:amd64	3.21.12-8.2ubuntu0.3
libprotoc32t64:amd64	3.21.12-8.2ubuntu0.3
libpsl5t64:amd64	0.21.2-1.1build1
libpthread-stubs0-dev:amd64	0.4-1build3
libpugixml-dev:amd64	1.14-0.1build1
libpugixml1v5:amd64	1.14-0.1build1
libpulse0:amd64	1:16.1+dfsg1-2ubuntu10.1
libpython3-dev:amd64	3.12.3-0ubuntu2.1
libpython3-stdlib:amd64	3.12.3-0ubuntu2.1
libpython3.12-dev:amd64	3.12.3-1ubuntu0.15
libpython3.12-minimal:amd64	3.12.3-1ubuntu0.15
libpython3.12-stdlib:amd64	3.12.3-1ubuntu0.15
libpython3.12t64:amd64	3.12.3-1ubuntu0.15
libqhull-dev:amd64	2020.2-6build1
libqhull-r8.0:amd64	2020.2-6build1
libqhull8.0:amd64	2020.2-6build1
libqhullcpp8.0:amd64	2020.2-6build1
libqt5charts5:amd64	5.15.13-1
libqt5concurrent5t64:amd64	5.15.13+dfsg-1ubuntu1
libqt5core5t64:amd64	5.15.13+dfsg-1ubuntu1
libqt5dbus5t64:amd64	5.15.13+dfsg-1ubuntu1
libqt5gui5t64:amd64	5.15.13+dfsg-1ubuntu1
libqt5network5t64:amd64	5.15.13+dfsg-1ubuntu1
libqt5printsupport5t64:amd64	5.15.13+dfsg-1ubuntu1
libqt5qml5:amd64	5.15.13+dfsg-1ubuntu0.1
libqt5qmlmodels5:amd64	5.15.13+dfsg-1ubuntu0.1
