"perturbation_axis","vehicle","plant","outcome","bit_identical","first_divergence_step","first_divergence_path","divergence_magnitude","na_reason_or_notes"
"batch-8-slot-5","vehicle-b-rudder","planar3","not-applicable",,,,,"vehicle-b-rudder production integration requires coupled6."
"batch-64-slot-37","vehicle-b-rudder","planar3","not-applicable",,,,,"vehicle-b-rudder production integration requires coupled6."
"backend-node-vs-tensor","vehicle-b-rudder","planar3","not-applicable",,,,,"vehicle-b-rudder production integration requires coupled6."
"worker-crash-recovery","vehicle-b-rudder","planar3","not-applicable",,,,,"vehicle-b-rudder production integration requires coupled6."
"sensors-on-vs-off","vehicle-b-rudder","planar3","not-applicable",,,,,"vehicle-b-rudder production integration requires coupled6."
"episode-short","vehicle-b-rudder","planar3","not-applicable",,,,,"vehicle-b-rudder production integration requires coupled6."
"episode-full-usv-bench-36","vehicle-b-rudder","planar3","not-applicable",,,,,"vehicle-b-rudder production integration requires coupled6."
"process-restart","vehicle-b-rudder","coupled6","passed",true,,,0,"Checkpoint serialized, engine disposed, new engine restored, then continued."
"checkpoint-multiple-full-sensors","vehicle-b-rudder","coupled6","passed",true,,,0,"Full 11-plugin typed sensor stack; checkpoints include mid-episode."
"batch-8-slot-5","vehicle-b-rudder","coupled6","passed",true,,,0,"Full production physics and sensors in vector slot 5. A prior sweep-only divergence was caused by reusing a mutable action object: the planar actuator path adds appliedWrench, so one slot contaminated later slots. Fresh per-slot/per-step actions remove this harness aliasing; this is not a simulator batch-position property."
"batch-64-slot-37","vehicle-b-rudder","coupled6","passed",true,,,0,"Full production physics and sensors in vector slot 37. A prior sweep-only divergence was caused by reusing a mutable action object: the planar actuator path adds appliedWrench, so one slot contaminated later slots. Fresh per-slot/per-step actions remove this harness aliasing; this is not a simulator batch-position property."
"worker-crash-recovery","vehicle-b-rudder","coupled6","passed",true,,,0,"Recovery contract uses serialized checkpoint after disposal; worker transport is covered by worker runner tests."
"sensors-on-vs-off","vehicle-b-rudder","coupled6","passed",true,,,0,"Compares physical state only; sensor energy is intentionally excluded."
"episode-short","vehicle-b-rudder","coupled6","passed",true,,,0,"Eight-step short-run prefix under the identical full-duration configuration."
"episode-full-usv-bench-36","vehicle-b-rudder","coupled6","passed",true,,,0,"Current USV-Bench-36 episode length: 40 steps at 20 Hz."
"backend-node-vs-tensor","vehicle-b-rudder","coupled6","not-applicable",,,,,"Tensor backend currently supports only Vehicle A planar3."
"process-restart","vehicle-c-azimuth","planar3","not-applicable",,,,,"vehicle-c-azimuth production integration requires coupled6."
"checkpoint-multiple-full-sensors","vehicle-c-azimuth","planar3","not-applicable",,,,,"vehicle-c-azimuth production integration requires coupled6."
"batch-8-slot-5","vehicle-c-azimuth","planar3","not-applicable",,,,,"vehicle-c-azimuth production integration requires coupled6."
"batch-64-slot-37","vehicle-c-azimuth","planar3","not-applicable",,,,,"vehicle-c-azimuth production integration requires coupled6."
"backend-node-vs-tensor","vehicle-c-azimuth","planar3","not-applicable",,,,,"vehicle-c-azimuth production integration requires coupled6."
"worker-crash-recovery","vehicle-c-azimuth","planar3","not-applicable",,,,,"vehicle-c-azimuth production integration requires coupled6."
"sensors-on-vs-off","vehicle-c-azimuth","planar3","not-applicable",,,,,"vehicle-c-azimuth production integration requires coupled6."
"episode-short","vehicle-c-azimuth","planar3","not-applicable",,,,,"vehicle-c-azimuth production integration requires coupled6."
"episode-full-usv-bench-36","vehicle-c-azimuth","planar3","not-applicable",,,,,"vehicle-c-azimuth production integration requires coupled6."
"process-restart","vehicle-c-azimuth","coupled6","passed",true,,,0,"Checkpoint serialized, engine disposed, new engine restored, then continued."
"checkpoint-multiple-full-sensors","vehicle-c-azimuth","coupled6","passed",true,,,0,"Full 11-plugin typed sensor stack; checkpoints include mid-episode."
"batch-8-slot-5","vehicle-c-azimuth","coupled6","passed",true,,,0,"Full production physics and sensors in vector slot 5. A prior sweep-only divergence was caused by reusing a mutable action object: the planar actuator path adds appliedWrench, so one slot contaminated later slots. Fresh per-slot/per-step actions remove this harness aliasing; this is not a simulator batch-position property."
"batch-64-slot-37","vehicle-c-azimuth","coupled6","passed",true,,,0,"Full production physics and sensors in vector slot 37. A prior sweep-only divergence was caused by reusing a mutable action object: the planar actuator path adds appliedWrench, so one slot contaminated later slots. Fresh per-slot/per-step actions remove this harness aliasing; this is not a simulator batch-position property."
"worker-crash-recovery","vehicle-c-azimuth","coupled6","passed",true,,,0,"Recovery contract uses serialized checkpoint after disposal; worker transport is covered by worker runner tests."
"sensors-on-vs-off","vehicle-c-azimuth","coupled6","passed",true,,,0,"Compares physical state only; sensor energy is intentionally excluded."
"episode-short","vehicle-c-azimuth","coupled6","passed",true,,,0,"Eight-step short-run prefix under the identical full-duration configuration."
"episode-full-usv-bench-36","vehicle-c-azimuth","coupled6","passed",true,,,0,"Current USV-Bench-36 episode length: 40 steps at 20 Hz."
"backend-node-vs-tensor","vehicle-c-azimuth","coupled6","not-applicable",,,,,"Tensor backend currently supports only Vehicle A planar3."
